Suburb,Price,Date,Dayofweek
Keilor East,630000,16/04/2016,Saturday
Keilor East,835000,16/04/2016,Saturday
Keilor East,705000,16/04/2016,Saturday
Kensington,812000,16/04/2016,Saturday
Kensington,1900000,16/04/2016,Saturday
Maidstone,349000,16/04/2016,Saturday
Malvern,1437000,16/04/2016,Saturday
Malvern East,1915000,16/04/2016,Saturday
Malvern East,1690000,16/04/2016,Saturday
Maribyrnong,865000,16/04/2016,Saturday
Maribyrnong,488000,16/04/2016,Saturday
Maribyrnong,940000,16/04/2016,Saturday
Maribyrnong,570000,16/04/2016,Saturday
Middle Park,700000,16/04/2016,Saturday
Moonee Ponds,1370000,16/04/2016,Saturday
Moonee Ponds,1400000,16/04/2016,Saturday
Moonee Ponds,1310000,16/04/2016,Saturday
Moonee Ponds,1833000,16/04/2016,Saturday
Newport,716000,16/04/2016,Saturday
Newport,740000,16/04/2016,Saturday
Newport,970000,16/04/2016,Saturday
Newport,735000,16/04/2016,Saturday
Niddrie,1076000,16/04/2016,Saturday
Niddrie,850000,16/04/2016,Saturday
North Melbourne,440000,16/04/2016,Saturday
North Melbourne,606000,16/04/2016,Saturday
Northcote,1900000,16/04/2016,Saturday
Northcote,888000,16/04/2016,Saturday
Northcote,1020000,16/04/2016,Saturday
Northcote,1160000,16/04/2016,Saturday
Northcote,844000,16/04/2016,Saturday
Northcote,1860000,16/04/2016,Saturday
Parkville,2800000,16/04/2016,Saturday
Pascoe Vale,970000,16/04/2016,Saturday
Pascoe Vale,515000,16/04/2016,Saturday
Port Melbourne,1565000,16/04/2016,Saturday
Port Melbourne,1670000,16/04/2016,Saturday
Prahran,530000,16/04/2016,Saturday
Prahran,1651000,16/04/2016,Saturday
Prahran,615000,16/04/2016,Saturday
Preston,700000,16/04/2016,Saturday
Preston,930000,16/04/2016,Saturday
Preston,920000,16/04/2016,Saturday
Reservoir,670000,16/04/2016,Saturday
Reservoir,376000,16/04/2016,Saturday
Reservoir,323000,16/04/2016,Saturday
Reservoir,680000,16/04/2016,Saturday
Reservoir,530000,16/04/2016,Saturday
Reservoir,786000,16/04/2016,Saturday
Reservoir,390000,16/04/2016,Saturday
Reservoir,650000,16/04/2016,Saturday
Reservoir,540000,16/04/2016,Saturday
Richmond,1088000,16/04/2016,Saturday
Richmond,911000,16/04/2016,Saturday
Richmond,3001000,16/04/2016,Saturday
Richmond,638000,16/04/2016,Saturday
Seddon,920000,16/04/2016,Saturday
Seddon,1395000,16/04/2016,Saturday
Seddon,965000,16/04/2016,Saturday
South Melbourne,1500000,16/04/2016,Saturday
South Melbourne,2000000,16/04/2016,Saturday
South Melbourne,692000,16/04/2016,Saturday
South Yarra,515000,16/04/2016,Saturday
Southbank,425000,16/04/2016,Saturday
Spotswood,831000,16/04/2016,Saturday
St Kilda,503500,16/04/2016,Saturday
St Kilda,511000,16/04/2016,Saturday
St Kilda,580000,16/04/2016,Saturday
Strathmore,1430000,16/04/2016,Saturday
Strathmore,915000,16/04/2016,Saturday
Sunshine,610000,16/04/2016,Saturday
Sunshine,600000,16/04/2016,Saturday
Sunshine North,735000,16/04/2016,Saturday
Sunshine North,635800,16/04/2016,Saturday
Sunshine West,480000,16/04/2016,Saturday
Sunshine West,544500,16/04/2016,Saturday
Templestowe Lower,1010000,16/04/2016,Saturday
Thornbury,898000,16/04/2016,Saturday
Thornbury,1235000,16/04/2016,Saturday
Thornbury,910500,16/04/2016,Saturday
Thornbury,995000,16/04/2016,Saturday
Thornbury,760000,16/04/2016,Saturday
Thornbury,505000,16/04/2016,Saturday
Toorak,1300000,16/04/2016,Saturday
Williamstown,906000,16/04/2016,Saturday
Williamstown,1805000,16/04/2016,Saturday
Williamstown,1126000,16/04/2016,Saturday
Williamstown,935000,16/04/2016,Saturday
Yarraville,1055000,16/04/2016,Saturday
Yarraville,620000,16/04/2016,Saturday
Yarraville,660000,16/04/2016,Saturday
Yarraville,681000,16/04/2016,Saturday
Yarraville,345000,16/04/2016,Saturday
Yarraville,950000,16/04/2016,Saturday
Yarraville,955000,16/04/2016,Saturday
Yarraville,822000,16/04/2016,Saturday
Brunswick East,510000,16/04/2016,Saturday
Brunswick East,1574000,16/04/2016,Saturday
Burnley,881000,16/04/2016,Saturday
Ormond,1500000,16/04/2016,Saturday
Ormond,260000,16/04/2016,Saturday
South Kingsville,915000,16/04/2016,Saturday
Airport West,662000,23/04/2016,Saturday
Albert Park,2100000,23/04/2016,Saturday
Altona,577000,23/04/2016,Saturday
Altona North,590000,23/04/2016,Saturday
Ascot Vale,1291000,23/04/2016,Saturday
Ascot Vale,1130000,23/04/2016,Saturday
Avondale Heights,695000,23/04/2016,Saturday
Box Hill,400000,23/04/2016,Saturday
Box Hill,1170000,23/04/2016,Saturday
Brunswick,835000,23/04/2016,Saturday
Brunswick,705000,23/04/2016,Saturday
Brunswick,800000,23/04/2016,Saturday
Brunswick West,995000,23/04/2016,Saturday
Brunswick West,901000,23/04/2016,Saturday
Bulleen,1244000,23/04/2016,Saturday
Carnegie,990000,23/04/2016,Saturday
Carnegie,1100000,23/04/2016,Saturday
Carnegie,1125000,23/04/2016,Saturday
Coburg,680000,23/04/2016,Saturday
Coburg,482500,23/04/2016,Saturday
Coburg,825000,23/04/2016,Saturday
Coburg,725000,23/04/2016,Saturday
Coburg,1250000,23/04/2016,Saturday
Coburg North,570000,23/04/2016,Saturday
Doncaster,1391000,23/04/2016,Saturday
Doncaster,452000,23/04/2016,Saturday
Elsternwick,895000,23/04/2016,Saturday
Essendon,736000,23/04/2016,Saturday
Fairfield,1065000,23/04/2016,Saturday
Fitzroy,660000,23/04/2016,Saturday
Fitzroy North,2300000,23/04/2016,Saturday
Fitzroy North,937500,23/04/2016,Saturday
Flemington,991000,23/04/2016,Saturday
Glenroy,600000,23/04/2016,Saturday
Gowanbrae,390000,23/04/2016,Saturday
Hadfield,800000,23/04/2016,Saturday
Hampton,2200000,23/04/2016,Saturday
Keilor East,825000,23/04/2016,Saturday
Keilor East,680000,23/04/2016,Saturday
Kensington,460000,23/04/2016,Saturday
Kensington,395000,23/04/2016,Saturday
Maidstone,750000,23/04/2016,Saturday
Maidstone,360000,23/04/2016,Saturday
Malvern East,300000,23/04/2016,Saturday
Maribyrnong,1048700,23/04/2016,Saturday
Melbourne,436000,23/04/2016,Saturday
Middle Park,1025000,23/04/2016,Saturday
Moonee Ponds,1250000,23/04/2016,Saturday
Moonee Ponds,870000,23/04/2016,Saturday
Moonee Ponds,801000,23/04/2016,Saturday
Newport,805000,23/04/2016,Saturday
Newport,680000,23/04/2016,Saturday
Northcote,370000,23/04/2016,Saturday
Northcote,1225000,23/04/2016,Saturday
Pascoe Vale,630000,23/04/2016,Saturday
Pascoe Vale,410000,23/04/2016,Saturday
Pascoe Vale,600000,23/04/2016,Saturday
Prahran,1180000,23/04/2016,Saturday
Prahran,510000,23/04/2016,Saturday
Preston,600000,23/04/2016,Saturday
Reservoir,572000,23/04/2016,Saturday
Reservoir,600000,23/04/2016,Saturday
Reservoir,450000,23/04/2016,Saturday
Reservoir,525000,23/04/2016,Saturday
Reservoir,692500,23/04/2016,Saturday
Reservoir,790000,23/04/2016,Saturday
Richmond,1650000,23/04/2016,Saturday
Seddon,970000,23/04/2016,Saturday
South Melbourne,480000,23/04/2016,Saturday
South Melbourne,1185000,23/04/2016,Saturday
South Yarra,310000,23/04/2016,Saturday
Southbank,690000,23/04/2016,Saturday
St Kilda,535000,23/04/2016,Saturday
Strathmore,1205000,23/04/2016,Saturday
Strathmore,535000,23/04/2016,Saturday
Templestowe Lower,940000,23/04/2016,Saturday
Toorak,4200000,23/04/2016,Saturday
Yarraville,745000,23/04/2016,Saturday
Yarraville,1158000,23/04/2016,Saturday
Yarraville,867000,23/04/2016,Saturday
Brunswick East,998000,23/04/2016,Saturday
Brunswick East,1010000,23/04/2016,Saturday
Carlton,2033000,23/04/2016,Saturday
Murrumbeena,720000,23/04/2016,Saturday
Ormond,940000,23/04/2016,Saturday
Abbotsford,941000,7/05/2016,Saturday
Abbotsford,1876000,7/05/2016,Saturday
Airport West,725000,7/05/2016,Saturday
Airport West,450000,7/05/2016,Saturday
Albert Park,1550000,7/05/2016,Saturday
Albert Park,2300000,7/05/2016,Saturday
Altona,660000,7/05/2016,Saturday
Altona North,588000,7/05/2016,Saturday
Armadale,1525000,7/05/2016,Saturday
Armadale,735000,7/05/2016,Saturday
Armadale,825000,7/05/2016,Saturday
Armadale,1586000,7/05/2016,Saturday
Ascot Vale,970000,7/05/2016,Saturday
Ascot Vale,940000,7/05/2016,Saturday
Ascot Vale,751000,7/05/2016,Saturday
Ascot Vale,950000,7/05/2016,Saturday
Ashwood,1120000,7/05/2016,Saturday
Avondale Heights,1160000,7/05/2016,Saturday
Balaclava,280000,7/05/2016,Saturday
Bentleigh,1500000,7/05/2016,Saturday
Bentleigh East,1215000,7/05/2016,Saturday
Bentleigh East,1200000,7/05/2016,Saturday
Bentleigh East,1050000,7/05/2016,Saturday
Bentleigh East,950000,7/05/2016,Saturday
Bentleigh East,380000,7/05/2016,Saturday
Bentleigh East,689000,7/05/2016,Saturday
Bentleigh East,1400000,7/05/2016,Saturday
Bentleigh East,965000,7/05/2016,Saturday
Bentleigh East,1338000,7/05/2016,Saturday
Bentleigh East,800000,7/05/2016,Saturday
Bentleigh East,651000,7/05/2016,Saturday
Bentleigh East,920000,7/05/2016,Saturday
Bentleigh East,1390000,7/05/2016,Saturday
Brighton,2750000,7/05/2016,Saturday
Brighton,892500,7/05/2016,Saturday
Brighton,2145000,7/05/2016,Saturday
Brighton,3171000,7/05/2016,Saturday
Brighton,1910000,7/05/2016,Saturday
Brighton,1850000,7/05/2016,Saturday
Brighton,1067000,7/05/2016,Saturday
Brighton,1865000,7/05/2016,Saturday
Brighton East,2000000,7/05/2016,Saturday
Brighton East,1400000,7/05/2016,Saturday
Brighton East,1300000,7/05/2016,Saturday
Brighton East,1600000,7/05/2016,Saturday
Brighton East,1780000,7/05/2016,Saturday
Brighton East,1200000,7/05/2016,Saturday
Brunswick,1310000,7/05/2016,Saturday
Brunswick,860000,7/05/2016,Saturday
Brunswick,845500,7/05/2016,Saturday
Brunswick,860000,7/05/2016,Saturday
Brunswick,605000,7/05/2016,Saturday
Brunswick,1055000,7/05/2016,Saturday
Brunswick,445000,7/05/2016,Saturday
Brunswick West,265000,7/05/2016,Saturday
Brunswick West,955000,7/05/2016,Saturday
Bulleen,1340000,7/05/2016,Saturday
Bulleen,1225000,7/05/2016,Saturday
Burwood,2000000,7/05/2016,Saturday
Carlton North,2950000,7/05/2016,Saturday
Carlton North,2175000,7/05/2016,Saturday
Carnegie,1600000,7/05/2016,Saturday
Carnegie,1170000,7/05/2016,Saturday
Carnegie,260000,7/05/2016,Saturday
Caulfield North,2005000,7/05/2016,Saturday
Caulfield South,1470000,7/05/2016,Saturday
Caulfield South,1012000,7/05/2016,Saturday
Coburg,550000,7/05/2016,Saturday
Coburg,1100000,7/05/2016,Saturday
Coburg North,700000,7/05/2016,Saturday
Doncaster,1868000,7/05/2016,Saturday
Doncaster,920000,7/05/2016,Saturday
Doncaster,1050000,7/05/2016,Saturday
Elsternwick,1755000,7/05/2016,Saturday
Elsternwick,1400000,7/05/2016,Saturday
Elwood,357000,7/05/2016,Saturday
Elwood,685000,7/05/2016,Saturday
Essendon,1365000,7/05/2016,Saturday
Essendon,1130000,7/05/2016,Saturday
Fairfield,1220000,7/05/2016,Saturday
Fairfield,1160000,7/05/2016,Saturday
Fitzroy,692000,7/05/2016,Saturday
Footscray,291000,7/05/2016,Saturday
Footscray,375000,7/05/2016,Saturday
Footscray,736000,7/05/2016,Saturday
Footscray,752000,7/05/2016,Saturday
Glenroy,540000,7/05/2016,Saturday
Gowanbrae,468000,7/05/2016,Saturday
Hampton,890000,7/05/2016,Saturday
Hampton,1120000,7/05/2016,Saturday
Hughesdale,828000,7/05/2016,Saturday
Kealba,365000,7/05/2016,Saturday
Keilor East,772000,7/05/2016,Saturday
Keilor East,650000,7/05/2016,Saturday
Kensington,961000,7/05/2016,Saturday
Kensington,1271000,7/05/2016,Saturday
Kensington,1010000,7/05/2016,Saturday
Kensington,750000,7/05/2016,Saturday
Kensington,1675000,7/05/2016,Saturday
Malvern,569000,7/05/2016,Saturday
Malvern,2025000,7/05/2016,Saturday
Malvern,1950000,7/05/2016,Saturday
Malvern East,1253000,7/05/2016,Saturday
Maribyrnong,550000,7/05/2016,Saturday
Maribyrnong,420000,7/05/2016,Saturday
Maribyrnong,399000,7/05/2016,Saturday
Maribyrnong,940000,7/05/2016,Saturday
Maribyrnong,1105000,7/05/2016,Saturday
Melbourne,535000,7/05/2016,Saturday
Moonee Ponds,1445000,7/05/2016,Saturday
Newport,880000,7/05/2016,Saturday
Newport,335000,7/05/2016,Saturday
Newport,1260000,7/05/2016,Saturday
Newport,1400000,7/05/2016,Saturday
Niddrie,770000,7/05/2016,Saturday
Niddrie,895500,7/05/2016,Saturday
North Melbourne,645000,7/05/2016,Saturday
Northcote,418000,7/05/2016,Saturday
Northcote,860000,7/05/2016,Saturday
Northcote,650000,7/05/2016,Saturday
Northcote,1700000,7/05/2016,Saturday
Oak Park,830000,7/05/2016,Saturday
Pascoe Vale,495000,7/05/2016,Saturday
Pascoe Vale,738000,7/05/2016,Saturday
Pascoe Vale,386000,7/05/2016,Saturday
Pascoe Vale,452000,7/05/2016,Saturday
Pascoe Vale,522500,7/05/2016,Saturday
Pascoe Vale,601500,7/05/2016,Saturday
Port Melbourne,1100000,7/05/2016,Saturday
Port Melbourne,1421000,7/05/2016,Saturday
Port Melbourne,845000,7/05/2016,Saturday
Port Melbourne,720000,7/05/2016,Saturday
Port Melbourne,1275000,7/05/2016,Saturday
Port Melbourne,1000000,7/05/2016,Saturday
Prahran,830000,7/05/2016,Saturday
Prahran,1182500,7/05/2016,Saturday
Prahran,1303000,7/05/2016,Saturday
Preston,650000,7/05/2016,Saturday
Preston,850000,7/05/2016,Saturday
Preston,560000,7/05/2016,Saturday
Reservoir,365000,7/05/2016,Saturday
Reservoir,405000,7/05/2016,Saturday
Reservoir,620500,7/05/2016,Saturday
Reservoir,730000,7/05/2016,Saturday
Reservoir,260000,7/05/2016,Saturday
Reservoir,665000,7/05/2016,Saturday
Reservoir,625000,7/05/2016,Saturday
Reservoir,357500,7/05/2016,Saturday
Richmond,1506000,7/05/2016,Saturday
Richmond,1350000,7/05/2016,Saturday
Richmond,1090000,7/05/2016,Saturday
Richmond,405000,7/05/2016,Saturday
South Melbourne,2260000,7/05/2016,Saturday
South Melbourne,1150000,7/05/2016,Saturday
South Melbourne,1595000,7/05/2016,Saturday
South Yarra,623500,7/05/2016,Saturday
South Yarra,409000,7/05/2016,Saturday
South Yarra,370000,7/05/2016,Saturday
Southbank,990000,7/05/2016,Saturday
Southbank,623000,7/05/2016,Saturday
Southbank,592500,7/05/2016,Saturday
Spotswood,832500,7/05/2016,Saturday
St Kilda,527000,7/05/2016,Saturday
St Kilda,610000,7/05/2016,Saturday
St Kilda,285000,7/05/2016,Saturday
St Kilda,400000,7/05/2016,Saturday
St Kilda,450000,7/05/2016,Saturday
Strathmore,1265000,7/05/2016,Saturday
Strathmore,1025000,7/05/2016,Saturday
Strathmore,1430000,7/05/2016,Saturday
Sunshine,895000,7/05/2016,Saturday
Sunshine,657500,7/05/2016,Saturday
Sunshine,1030000,7/05/2016,Saturday
Sunshine North,607000,7/05/2016,Saturday
Sunshine North,600000,7/05/2016,Saturday
Sunshine North,560000,7/05/2016,Saturday
Sunshine West,581000,7/05/2016,Saturday
Templestowe Lower,1500000,7/05/2016,Saturday
Thornbury,940000,7/05/2016,Saturday
Toorak,349000,7/05/2016,Saturday
West Melbourne,550000,7/05/2016,Saturday
West Melbourne,660000,7/05/2016,Saturday
Williamstown,1460000,7/05/2016,Saturday
Williamstown,310000,7/05/2016,Saturday
Windsor,800000,7/05/2016,Saturday
Windsor,275000,7/05/2016,Saturday
Yarraville,1320000,7/05/2016,Saturday
Aberfeldie,442000,7/05/2016,Saturday
Aberfeldie,470000,7/05/2016,Saturday
Brunswick East,1625000,7/05/2016,Saturday
Brunswick East,899000,7/05/2016,Saturday
Carlton,1662000,7/05/2016,Saturday
Carlton,1590000,7/05/2016,Saturday
Carlton,610250,7/05/2016,Saturday
Carlton,720000,7/05/2016,Saturday
Essendon West,1245000,7/05/2016,Saturday
Kingsville,677500,7/05/2016,Saturday
Murrumbeena,975000,7/05/2016,Saturday
Murrumbeena,1060000,7/05/2016,Saturday
Murrumbeena,680000,7/05/2016,Saturday
West Footscray,520000,7/05/2016,Saturday
Oakleigh,400000,7/05/2016,Saturday
Ripponlea,605000,7/05/2016,Saturday
Abbotsford,441000,14/05/2016,Saturday
Airport West,755000,14/05/2016,Saturday
Altona,635000,14/05/2016,Saturday
Altona,620000,14/05/2016,Saturday
Altona North,675000,14/05/2016,Saturday
Armadale,390000,14/05/2016,Saturday
Ascot Vale,1340000,14/05/2016,Saturday
Ascot Vale,955000,14/05/2016,Saturday
Ashwood,690000,14/05/2016,Saturday
Bentleigh East,805000,14/05/2016,Saturday
Bentleigh East,880000,14/05/2016,Saturday
Bentleigh East,1100000,14/05/2016,Saturday
Braybrook,585000,14/05/2016,Saturday
Brighton,826000,14/05/2016,Saturday
Brighton,2730000,14/05/2016,Saturday
Brighton,900000,14/05/2016,Saturday
Brighton,1962000,14/05/2016,Saturday
Brighton East,1530000,14/05/2016,Saturday
Brighton East,805000,14/05/2016,Saturday
Brunswick,905000,14/05/2016,Saturday
Brunswick,976000,14/05/2016,Saturday
Brunswick,641000,14/05/2016,Saturday
Brunswick West,1245000,14/05/2016,Saturday
Brunswick West,900000,14/05/2016,Saturday
Bulleen,1320000,14/05/2016,Saturday
Burwood,633000,14/05/2016,Saturday
Burwood,1070500,14/05/2016,Saturday
Carlton North,2210000,14/05/2016,Saturday
Carnegie,1200000,14/05/2016,Saturday
Carnegie,1501000,14/05/2016,Saturday
Carnegie,950000,14/05/2016,Saturday
Carnegie,970000,14/05/2016,Saturday
Caulfield South,1774500,14/05/2016,Saturday
Coburg,763000,14/05/2016,Saturday
Collingwood,897500,14/05/2016,Saturday
Collingwood,865000,14/05/2016,Saturday
Collingwood,1265000,14/05/2016,Saturday
Doncaster,1250000,14/05/2016,Saturday
Doncaster,1140000,14/05/2016,Saturday
Elwood,940000,14/05/2016,Saturday
Essendon,460000,14/05/2016,Saturday
Essendon,1000000,14/05/2016,Saturday
Essendon,980000,14/05/2016,Saturday
Essendon North,1320000,14/05/2016,Saturday
Essendon North,450000,14/05/2016,Saturday
Fitzroy North,1950000,14/05/2016,Saturday
Fitzroy North,3400000,14/05/2016,Saturday
Fitzroy North,1785000,14/05/2016,Saturday
Flemington,1700000,14/05/2016,Saturday
Footscray,780000,14/05/2016,Saturday
Gowanbrae,709000,14/05/2016,Saturday
Hadfield,545000,14/05/2016,Saturday
Hampton,742000,14/05/2016,Saturday
Hampton East,1020000,14/05/2016,Saturday
Keilor East,1100000,14/05/2016,Saturday
Keilor East,470000,14/05/2016,Saturday
Keilor East,380000,14/05/2016,Saturday
Keilor East,560000,14/05/2016,Saturday
Keilor East,1010000,14/05/2016,Saturday
Kensington,825000,14/05/2016,Saturday
Kensington,770000,14/05/2016,Saturday
Maidstone,673000,14/05/2016,Saturday
Malvern,1390000,14/05/2016,Saturday
Malvern,780000,14/05/2016,Saturday
Malvern,4700000,14/05/2016,Saturday
Malvern East,1700000,14/05/2016,Saturday
Malvern East,2500000,14/05/2016,Saturday
Malvern East,370000,14/05/2016,Saturday
Malvern East,1150000,14/05/2016,Saturday
Maribyrnong,1100000,14/05/2016,Saturday
Maribyrnong,1072000,14/05/2016,Saturday
Maribyrnong,479000,14/05/2016,Saturday
Maribyrnong,470000,14/05/2016,Saturday
Maribyrnong,510000,14/05/2016,Saturday
Middle Park,1020000,14/05/2016,Saturday
Middle Park,1515000,14/05/2016,Saturday
Moonee Ponds,330000,14/05/2016,Saturday
Moonee Ponds,1145000,14/05/2016,Saturday
Moonee Ponds,1322000,14/05/2016,Saturday
Moonee Ponds,1015000,14/05/2016,Saturday
Newport,1002500,14/05/2016,Saturday
Newport,807500,14/05/2016,Saturday
Newport,1120000,14/05/2016,Saturday
Newport,950000,14/05/2016,Saturday
Newport,1620000,14/05/2016,Saturday
Niddrie,600000,14/05/2016,Saturday
Niddrie,875000,14/05/2016,Saturday
Niddrie,785000,14/05/2016,Saturday
Northcote,312000,14/05/2016,Saturday
Northcote,320000,14/05/2016,Saturday
Northcote,890000,14/05/2016,Saturday
Northcote,2700000,14/05/2016,Saturday
Northcote,1101000,14/05/2016,Saturday
Northcote,926000,14/05/2016,Saturday
Pascoe Vale,488000,14/05/2016,Saturday
Pascoe Vale,900000,14/05/2016,Saturday
Pascoe Vale,680000,14/05/2016,Saturday
Pascoe Vale,683500,14/05/2016,Saturday
Port Melbourne,825000,14/05/2016,Saturday
Port Melbourne,820000,14/05/2016,Saturday
Port Melbourne,900000,14/05/2016,Saturday
Prahran,473000,14/05/2016,Saturday
Prahran,1100000,14/05/2016,Saturday
Preston,910000,14/05/2016,Saturday
Preston,1260000,14/05/2016,Saturday
Preston,635000,14/05/2016,Saturday
Preston,550000,14/05/2016,Saturday
Preston,485000,14/05/2016,Saturday
Preston,690000,14/05/2016,Saturday
Reservoir,592500,14/05/2016,Saturday
Reservoir,830000,14/05/2016,Saturday
Reservoir,360000,14/05/2016,Saturday
Reservoir,655000,14/05/2016,Saturday
Richmond,930000,14/05/2016,Saturday
Richmond,1182000,14/05/2016,Saturday
Richmond,777500,14/05/2016,Saturday
Richmond,1115000,14/05/2016,Saturday
Richmond,760000,14/05/2016,Saturday
Richmond,640000,14/05/2016,Saturday
Richmond,1710000,14/05/2016,Saturday
Richmond,1420000,14/05/2016,Saturday
Richmond,390000,14/05/2016,Saturday
Richmond,3020000,14/05/2016,Saturday
Richmond,1346000,14/05/2016,Saturday
Seddon,720000,14/05/2016,Saturday
South Melbourne,612000,14/05/2016,Saturday
South Yarra,330000,14/05/2016,Saturday
South Yarra,450000,14/05/2016,Saturday
South Yarra,550000,14/05/2016,Saturday
South Yarra,400000,14/05/2016,Saturday
Southbank,480000,14/05/2016,Saturday
St Kilda,570000,14/05/2016,Saturday
St Kilda,561000,14/05/2016,Saturday
St Kilda,400000,14/05/2016,Saturday
St Kilda,637000,14/05/2016,Saturday
St Kilda,1220000,14/05/2016,Saturday
Sunshine,425000,14/05/2016,Saturday
Sunshine,715000,14/05/2016,Saturday
Sunshine North,650000,14/05/2016,Saturday
Sunshine West,665000,14/05/2016,Saturday
Sunshine West,500000,14/05/2016,Saturday
Thornbury,740000,14/05/2016,Saturday
Thornbury,1110000,14/05/2016,Saturday
Thornbury,795000,14/05/2016,Saturday
Thornbury,332000,14/05/2016,Saturday
Toorak,405000,14/05/2016,Saturday
Williamstown,450000,14/05/2016,Saturday
Williamstown,513500,14/05/2016,Saturday
Yarraville,796000,14/05/2016,Saturday
Carlton,1630100,14/05/2016,Saturday
Carlton,480000,14/05/2016,Saturday
Carlton,1600000,14/05/2016,Saturday
Carlton,500000,14/05/2016,Saturday
Ormond,861000,14/05/2016,Saturday
Ormond,765000,14/05/2016,Saturday
West Footscray,845000,14/05/2016,Saturday
Gardenvale,393000,14/05/2016,Saturday
Airport West,685000,22/05/2016,Sunday
Albert Park,647000,22/05/2016,Sunday
Alphington,865000,22/05/2016,Sunday
