Suburb,Address,Rooms,Type,Price,Method,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Buildingage,Pricepermeterland,Pricepermeterbuilding,Priceperbedroom,Priceperdistance
Collingwood,84 Budd St,3,h,1075000,S,16/04/2016,1.6,3066,3,1,0,183,104,1880,Yarra City Council,-37.7948,144.9875,Northern Metropolitan,4553,141,5874.31694,10336.53846,358333.3333,671875
Collingwood,38/99 Oxford St,3,u,1470000,S,16/04/2016,1.6,3066,3,2,2,0,,,Yarra City Council,-37.8037,144.9846,Northern Metropolitan,4553, , , ,490000,918750
Doncaster,19 Gilmore Rd,3,h,1485000,S,16/04/2016,13.9,3108,3,2,2,731,140,1960,Manningham City Council,-37.7892,145.131,Eastern Metropolitan,9028,61,2031.463748,10607.14286,495000,106834.5324
Doncaster,22 Menarra St,3,h,1190000,S,16/04/2016,13.9,3108,3,1,1,658,140,1960,Manningham City Council,-37.7816,145.1066,Eastern Metropolitan,9028,61,1808.510638,8500,396666.6667,85611.51079
Elsternwick,3/477 Kooyong Rd,3,t,1071000,S,16/04/2016,8.5,3185,3,2,2,179,125,2000,Glen Eira City Council,-37.8961,145.0125,Southern Metropolitan,4898,21,5983.240223,8568,357000,126000
Elsternwick,21 Liscard St,3,h,1800000,S,16/04/2016,8.5,3185,3,2,2,492,181,1905,Glen Eira City Council,-37.8789,145.0048,Southern Metropolitan,4898,116,3658.536585,9944.751381,600000,211764.7059
Elsternwick,2 Park St,3,h,2345000,S,16/04/2016,8.5,3185,3,2,1,419,204,1908,Glen Eira City Council,-37.8817,145.0126,Southern Metropolitan,4898,113,5596.658711,11495.09804,781666.6667,275882.3529
Elsternwick,5/16 St Georges Rd,2,u,741000,S,16/04/2016,8.5,3185,3,1,1,0,1561,1966,Glen Eira City Council,-37.8829,145.0033,Southern Metropolitan,4898,55, ,474.6957079,247000,87176.47059
Elwood,17 Addison St,3,h,1700000,S,16/04/2016,7.7,3184,3,2,2,316,,1910,Port Phillip City Council,-37.875,144.9813,Southern Metropolitan,8989,111,5379.746835, ,566666.6667,220779.2208
Elwood,5/15 Dickens St,2,u,686000,S,16/04/2016,7.7,3184,2,1,1,1622,,1970,Port Phillip City Council,-37.8716,144.9869,Southern Metropolitan,8989,51,422.9346486, ,343000,89090.90909
Elwood,2/21 Milton St,2,u,560000,PI,16/04/2016,7.7,3184,2,1,0,0,70,1930,Port Phillip City Council,-37.8751,144.987,Southern Metropolitan,8989,91, ,8000,280000,72727.27273
Elwood,4/41 Shelley St,2,u,765000,S,16/04/2016,7.7,3184,2,1,0,0,88,1940,Port Phillip City Council,-37.8809,144.9833,Southern Metropolitan,8989,81, ,8693.181818,382500,99350.64935
Essendon,9a Ballater St,2,u,800000,S,16/04/2016,8,3040,2,1,2,502,,,Moonee Valley City Council,-37.7498,144.9048,Western Metropolitan,9264, ,1593.625498, ,400000,100000
Essendon,2 Cooke St,5,h,1575000,PI,16/04/2016,8,3040,5,3,2,700,454,1988,Moonee Valley City Council,-37.7461,144.9173,Western Metropolitan,9264,33,2250,3469.162996,315000,196875
Essendon,9/160 Napier St,1,u,280000,SP,16/04/2016,8,3040,1,1,1,0,49,1960,Moonee Valley City Council,-37.7475,144.9194,Western Metropolitan,9264,61, ,5714.285714,280000,35000
Essendon,211 Napier St,4,h,1467000,S,16/04/2016,8,3040,3,2,1,683,145,1920,Moonee Valley City Council,-37.7439,144.9195,Western Metropolitan,9264,101,2147.877013,10117.24138,489000,183375
Essendon,11 Raleigh St,3,h,770000,S,16/04/2016,8,3040,3,1,0,438,,,Moonee Valley City Council,-37.754,144.926,Western Metropolitan,9264, ,1757.990868, ,256666.6667,96250
Essendon,15/18 Raleigh St,2,u,446000,S,16/04/2016,8,3040,2,1,1,0,,,Moonee Valley City Council,-37.7534,144.9242,Western Metropolitan,9264, , , ,223000,55750
Essendon,20 Warner St,2,h,890000,PI,16/04/2016,8,3040,2,1,1,649,108,1950,Moonee Valley City Council,-37.7445,144.9133,Western Metropolitan,9264,71,1371.340524,8240.740741,445000,111250
Fitzroy,258 Napier St,3,h,2200000,VB,16/04/2016,1.6,3065,3,2,1,187,,,Yarra City Council,-37.8003,144.9806,Northern Metropolitan,5825, ,11764.70588, ,733333.3333,1375000
Fitzroy North,111 Best St,3,h,1275000,SP,16/04/2016,3.5,3068,3,2,1,104,110,1890,Moreland City Council,-37.7813,144.9834,Northern Metropolitan,6244,131,12259.61538,11590.90909,425000,364285.7143
Fitzroy North,282 Glenlyon Rd,3,h,1141000,S,16/04/2016,3.5,3068,2,1,1,378,,,Moreland City Council,-37.7739,144.9819,Northern Metropolitan,6244, ,3018.518519, ,570500,326000
Flemington,7/30 Bryant St,1,h,250000,VB,16/04/2016,4.4,3031,1,1,1,0,,,Melbourne City Council,-37.7854,144.9326,Northern Metropolitan,3593, , , ,250000,56818.18182
Footscray,105/72 Cross St,1,u,375000,S,16/04/2016,6.4,3011,1,1,1,0,50,1920,Maribyrnong City Council,-37.8006,144.881,Western Metropolitan,7570,101, ,7500,375000,58593.75
Footscray,6/63 Everard St,2,u,615000,S,16/04/2016,6.4,3011,2,1,3,207,,1960,Maribyrnong City Council,-37.7975,144.8855,Western Metropolitan,7570,61,2971.014493, ,307500,96093.75
Glenroy,40 View St,3,h,525000,S,16/04/2016,13,3046,3,1,1,665,85,1950,Moreland City Council,-37.6966,144.9331,Northern Metropolitan,8870,71,789.4736842,6176.470588,175000,40384.61538
Gowanbrae,3 Gowanbrae Dr,3,h,700000,SP,16/04/2016,13.6,3043,3,2,2,691,,,Moreland City Council,-37.7089,144.8927,Western Metropolitan,1071, ,1013.024602, ,233333.3333,51470.58824
Gowanbrae,42 Seggan Cir,3,h,485000,S,16/04/2016,13.6,3043,3,2,1,175,134,2004,Moreland City Council,-37.7076,144.8961,Western Metropolitan,1071,17,2771.428571,3619.402985,161666.6667,35661.76471
Hadfield,1/22 Volga St,3,t,510000,PI,16/04/2016,12.1,3046,3,2,2,234,115,2012,Moreland City Council,-37.707,144.9411,Northern Metropolitan,2606,9,2179.487179,4434.782609,170000,42148.76033
Hughesdale,3/14 Rugby Rd,2,u,455000,S,16/04/2016,13,3166,2,1,2,0,60,1960,Monash City Council,-37.8942,145.0867,Southern Metropolitan,3145,61, ,7583.333333,227500,35000
Keilor East,564 Buckley St,3,h,630000,S,16/04/2016,12.8,3033,2,2,1,221,,,Brimbank City Council,-37.7504,144.8594,Western Metropolitan,5629, ,2850.678733, ,315000,49218.75
Keilor East,13 Pennington St,4,h,835000,S,16/04/2016,12.8,3033,4,2,3,708,184,1990,Brimbank City Council,-37.7452,144.8652,Western Metropolitan,5629,31,1179.378531,4538.043478,208750,65234.375
Keilor East,1/31 Surrey Dr,3,t,705000,S,16/04/2016,12.8,3033,3,2,1,440,156,1995,Brimbank City Council,-37.7517,144.8776,Western Metropolitan,5629,26,1602.272727,4519.230769,235000,55078.125
Kensington,14 Altona St,2,t,812000,SP,16/04/2016,4.2,3031,2,1,0,132,79,1887,Melbourne City Council,-37.7989,144.9275,Northern Metropolitan,5263,134,6151.515152,10278.48101,406000,193333.3333
Kensington,11 Nottingham St,5,h,1900000,VB,16/04/2016,4.2,3031,5,2,2,566,270,1890,Melbourne City Council,-37.7893,144.933,Northern Metropolitan,5263,131,3356.890459,7037.037037,380000,452380.9524
Maidstone,48/48 Eucalyptus Dr,2,u,349000,PI,16/04/2016,9.2,3012,2,1,1,0,69,2011,Maribyrnong City Council,-37.7795,144.8729,Western Metropolitan,3873,10, ,5057.971014,174500,37934.78261
Malvern,14 Woodmason St,3,h,1437000,S,16/04/2016,7.4,3144,2,1,1,313,132,1910,Stonnington City Council,-37.8511,145.0317,Southern Metropolitan,4675,111,4591.054313,10886.36364,718500,194189.1892
Malvern East,29 MacGregor St,3,h,1915000,PI,16/04/2016,11.2,3145,3,2,2,700,126,1920,Stonnington City Council,-37.8807,145.0547,Southern Metropolitan,8801,101,2735.714286,15198.4127,638333.3333,170982.1429
Malvern East,102 Manning Rd,4,h,1690000,S,16/04/2016,11.2,3145,4,2,2,334,,1920,Stonnington City Council,-37.8743,145.0588,Southern Metropolitan,8801,101,5059.88024, ,422500,150892.8571
Maribyrnong,112 Edgewater Bvd,3,t,865000,PI,16/04/2016,8.7,3032,3,2,2,151,3,2010,Maribyrnong City Council,-37.7855,144.8958,Western Metropolitan,4918,11,5728.476821,288333.3333,288333.3333,99425.28736
Maribyrnong,42/2 Horizon Dr,2,u,488000,S,16/04/2016,8.7,3032,2,2,2,0,,,Maribyrnong City Council,-37.7752,144.8925,Western Metropolitan,4918, , , ,244000,56091.95402
Maribyrnong,5 Lyric St,4,h,940000,S,16/04/2016,8.7,3032,4,2,1,325,,2004,Maribyrnong City Council,-37.7822,144.892,Western Metropolitan,4918,17,2892.307692, ,235000,108045.977
Maribyrnong,3/26 Middle Rd,2,t,570000,S,16/04/2016,8.7,3032,3,1,2,98,128,2009,Maribyrnong City Council,-37.7677,144.8925,Western Metropolitan,4918,12,5816.326531,4453.125,190000,65517.24138
Middle Park,6/82 Patterson St,2,u,700000,SP,16/04/2016,4.1,3206,2,1,1,0,67,1970,Port Phillip City Council,-37.8556,144.9669,Southern Metropolitan,2019,51, ,10447.76119,350000,170731.7073
Moonee Ponds,2 Addison St,3,h,1370000,S,16/04/2016,6.9,3039,3,1,2,427,,,Moonee Valley City Council,-37.7702,144.9266,Western Metropolitan,6232, ,3208.430913, ,456666.6667,198550.7246
Moonee Ponds,61 Athol St,3,h,1400000,SP,16/04/2016,6.9,3039,3,2,2,394,160,1890,Moonee Valley City Council,-37.7699,144.9149,Western Metropolitan,6232,131,3553.299492,8750,466666.6667,202898.5507
Moonee Ponds,22 McPherson St,4,h,1310000,S,16/04/2016,6.9,3039,3,3,2,475,,,Moonee Valley City Council,-37.7609,144.9285,Western Metropolitan,6232, ,2757.894737, ,436666.6667,189855.0725
Moonee Ponds,4 Milverton St,4,h,1833000,SP,16/04/2016,6.9,3039,4,1,1,583,,,Moonee Valley City Council,-37.7682,144.9151,Western Metropolitan,6232, ,3144.082333, ,458250,265652.1739
Newport,5 Croker St,3,h,716000,S,16/04/2016,8.4,3015,3,1,2,268,,,Hobsons Bay City Council,-37.8472,144.8754,Western Metropolitan,5498, ,2671.641791, ,238666.6667,85238.09524
Newport,1 Durkin St,2,h,740000,S,16/04/2016,8.4,3015,2,2,1,213,127,2006,Hobsons Bay City Council,-37.8441,144.8805,Western Metropolitan,5498,15,3474.178404,5826.771654,370000,88095.2381
Newport,91 High St,4,h,970000,S,16/04/2016,8.4,3015,3,1,1,619,151,1915,Hobsons Bay City Council,-37.839,144.8854,Western Metropolitan,5498,106,1567.043619,6423.84106,323333.3333,115476.1905
Newport,2/29 Maddox Rd,3,t,735000,S,16/04/2016,8.4,3015,3,2,2,0,162,2007,Hobsons Bay City Council,-37.8436,144.8691,Western Metropolitan,5498,14, ,4537.037037,245000,87500
Niddrie,26 Nolan St,3,h,1076000,S,16/04/2016,11.2,3042,3,1,1,654,,,Moonee Valley City Council,-37.7412,144.8888,Western Metropolitan,2291, ,1645.259939, ,358666.6667,96071.42857
Niddrie,11 Spring St,4,h,850000,S,16/04/2016,11.2,3042,4,3,2,641,,,Moonee Valley City Council,-37.7317,144.8751,Western Metropolitan,2291, ,1326.053042, ,212500,75892.85714
North Melbourne,2/150 Arden St,2,u,440000,PI,16/04/2016,2.3,3051,2,1,1,0,,1960,Melbourne City Council,-37.8004,144.9465,Northern Metropolitan,6821,61, , ,220000,191304.3478
North Melbourne,12/700 Queensberry St,2,u,606000,S,16/04/2016,2.3,3051,2,1,2,0,84,2000,Melbourne City Council,-37.8022,144.9439,Northern Metropolitan,6821,21, ,7214.285714,303000,263478.2609
Northcote,13 Andrew St,3,h,1900000,SP,16/04/2016,5.5,3070,3,1,1,522,174,1910,Darebin City Council,-37.7752,145.0032,Northern Metropolitan,11364,111,3639.846743,10919.54023,633333.3333,345454.5455
Northcote,121 Bent St,2,h,888000,SP,16/04/2016,5.5,3070,2,1,1,190,102,1985,Darebin City Council,-37.7667,144.9909,Northern Metropolitan,11364,36,4673.684211,8705.882353,444000,161454.5455
Northcote,45 Emmaline St,2,h,1020000,S,16/04/2016,5.5,3070,2,1,1,354,97,1920,Darebin City Council,-37.7638,144.9933,Northern Metropolitan,11364,101,2881.355932,10515.46392,510000,185454.5455
Northcote,34 Oamaru St,3,h,1160000,S,16/04/2016,5.5,3070,2,3,2,425,,,Darebin City Council,-37.7684,145.0099,Northern Metropolitan,11364, ,2729.411765, ,580000,210909.0909
Northcote,2/13 Spencer St,2,h,844000,S,16/04/2016,5.5,3070,2,1,1,174,106,1995,Darebin City Council,-37.7642,144.9963,Northern Metropolitan,11364,26,4850.574713,7962.264151,422000,153454.5455
